,entry_discipline,entry_category,entry_rank,athlete_firstname,athlete_lastname,athlete_country,athlete_speed_personal_best_score,event_name,event_location,event_year,event_month,event_day,athlete_age_at_event,athlete_max_rank,athlete_country_total_gold,athlete_country_total_silver,athlete_country_total_bronze,athlete_country_population,athlete_fullname,athlete_country_gold_per_capita,athlete_country_silver_per_capita,athlete_country_bronze_per_capita,athlete_golds_per_discipline
2377,lead,women,5,Ryu,NAKAGAWA,JPN,999.99,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,17,1,79,96,77,123975371,"NAKAGAWA, Ryu",6.372233401100289,7.743473500071236,6.210911036515471,0
2378,lead,women,6,Lucka,RAKOVEC,SVN,10.43,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,20,1,67,40,33,2126324,"RAKOVEC, Lucka",315.0977931867392,188.1180854846204,155.19742052481183,1
2379,lead,women,7,Lana,SKUSEK,SVN,999.99,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,21,3,67,40,33,2126324,"SKUSEK, Lana",315.0977931867392,188.1180854846204,155.19742052481183,0
2380,lead,women,9,Natsuki,TANII,JPN,11.92,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,17,1,79,96,77,123975371,"TANII, Natsuki",6.372233401100289,7.743473500071236,6.210911036515471,1
2381,lead,women,10,Camilla,MORONI,ITA,13.03,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,Briançon,2021,7,16,20,2,24,21,23,58986023,"MORONI, Camilla",4.068760492633992,3.5601654310547435,3.8992288054409094,0
2382,lead,women,1,Laura,ROGORA,ITA,10.5,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,Chamonix,2021,7,11,20,1,24,21,23,58986023,"ROGORA, Laura",4.068760492633992,3.5601654310547435,3.8992288054409094,3
2383,lead,women,2,Natalia,GROSSMAN,USA,9.15,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,Chamonix,2021,7,11,20,1,39,29,28,340110988,"GROSSMAN, Natalia",1.146684505235685,0.852662837226535,0.82326067042562,0
2384,lead,women,4,Vita,LUKAN,SVN,13.22,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,Chamonix,2021,7,11,20,1,67,40,33,2126324,"LUKAN, Vita",315.0977931867392,188.1180854846204,155.19742052481183,1
2385,lead,women,5,Natsuki,TANII,JPN,11.92,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,Chamonix,2021,7,11,17,1,79,96,77,123975371,"TANII, Natsuki",6.372233401100289,7.743473500071236,6.210911036515471,1
2386,lead,women,6,Julia,CHANOURDIE,FRA,8.17,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,Chamonix,2021,7,11,25,2,63,60,59,68516699,"CHANOURDIE, Julia",9.19483876478054,8.75698929979099,8.611039478127806,0
